state,crop,avg_price_quintal
Andaman And Nicobar,Amaranthus,6094.62
Andaman And Nicobar,Ashgourd,6388.89
Andaman And Nicobar,Banana,6423.86
Andaman And Nicobar,Banana - Green,4399.52
Andaman And Nicobar,Beetroot,10333.33
Andaman And Nicobar,Bhindi (Ladies Finger),7545.08
Andaman And Nicobar,Bitter Gourd,10119.78
Andaman And Nicobar,Bottle Gourd,5590.25
Andaman And Nicobar,Brinjal,9422.72
Andaman And Nicobar,Cabbage,9600.0
Andaman And Nicobar,Capsicum,8000.0
Andaman And Nicobar,Carrot,13266.67
Andaman And Nicobar,Cauliflower,12000.0
Andaman And Nicobar,Cluster Beans,6666.67
Andaman And Nicobar,Coconut,1446.61
Andaman And Nicobar,Colacasia,7372.73
Andaman And Nicobar,Coriander (Leaves),16938.46
Andaman And Nicobar,Cowpea (Veg),5642.36
Andaman And Nicobar,Cucumbar (Kheera),5257.61
Andaman And Nicobar,Drumstick,8915.38
Andaman And Nicobar,Elephant Yam (Suran),7872.14
Andaman And Nicobar,French Beans (Frasbean),8754.07
Andaman And Nicobar,Ginger (Dry),4592.0
Andaman And Nicobar,Ginger (Green),28500.0
Andaman And Nicobar,Green Chilli,23073.75
Andaman And Nicobar,Guava,3666.67
Andaman And Nicobar,Indian Beans (Seam),8000.0
Andaman And Nicobar,Jack Fruit,3000.0
Andaman And Nicobar,Knool Khol,5000.0
Andaman And Nicobar,Leafy Vegetable,4085.0
Andaman And Nicobar,Lemon,14.5
Andaman And Nicobar,Little Gourd (Kundru),6319.53
Andaman And Nicobar,Mint (Pudina),30000.0
Andaman And Nicobar,Onion,5304.35
Andaman And Nicobar,Papaya,2393.85
Andaman And Nicobar,Papaya (Raw),3579.34
Andaman And Nicobar,Pointed Gourd (Parval),9608.7
Andaman And Nicobar,Potato,4956.52
Andaman And Nicobar,Pumpkin,5264.22
Andaman And Nicobar,Raddish,3723.1
Andaman And Nicobar,Ridgeguard (Tori),5900.0
Andaman And Nicobar,Snakeguard,6038.46
Andaman And Nicobar,Spinach,5636.36
Andaman And Nicobar,Sweet Potato,5772.62
Andaman And Nicobar,Tapioca,5807.74
Andaman And Nicobar,Tender Coconut,14.0
Andaman And Nicobar,Tomato,6999.11
Andaman And Nicobar,Water Melon,6000.0
Andaman And Nicobar,Yam (Ratalu),5500.0
Andhra Pradesh,Ajwan,12364.72
Andhra Pradesh,Arhar (Tur/Red Gram)(Whole),6385.49
Andhra Pradesh,Bajra (Pearl Millet/Cumbu),2099.72
Andhra Pradesh,Banana,2249.17
Andhra Pradesh,Beans,7375.0
Andhra Pradesh,Beetroot,2800.0
Andhra Pradesh,Bengal Gram (Gram)(Whole),4987.05
Andhra Pradesh,Bengal Gram Dal (Chana Dal),4675.0
Andhra Pradesh,Bhindi (Ladies Finger),2223.81
Andhra Pradesh,Bitter Gourd,2352.17
Andhra Pradesh,Black Gram (Urd Beans)(Whole),7268.01
Andhra Pradesh,Black Gram Dal (Urd Dal),6032.5
Andhra Pradesh,Bottle Gourd,1065.22
Andhra Pradesh,Brinjal,2481.86
Andhra Pradesh,Cabbage,1006.5
Andhra Pradesh,Carrot,3833.33
Andhra Pradesh,Cashewnuts,11833.33
Andhra Pradesh,Castor Seed,5694.09
Andhra Pradesh,Cauliflower,1289.36
Andhra Pradesh,Chili Red,16000.0
Andhra Pradesh,Cluster Beans,4670.89
Andhra Pradesh,Cotton,7755.24
Andhra Pradesh,Cucumbar (Kheera),815.22
Andhra Pradesh,Dry Chillies,14684.27
Andhra Pradesh,Foxtail Millet (Navane),2996.38
Andhra Pradesh,Green Chilli,3839.7
Andhra Pradesh,Ground Nut Oil,7750.0
Andhra Pradesh,Groundnut,5851.99
Andhra Pradesh,Gur (Jaggery),3540.69
Andhra Pradesh,Jaggery,3460.86
Andhra Pradesh,Jowar (Sorghum),2632.75
Andhra Pradesh,Karbuja (Musk Melon),2688.89
Andhra Pradesh,Kulthi (Horse Gram),4100.0
Andhra Pradesh,Lemon,3319.18
Andhra Pradesh,Lime,3049.66
Andhra Pradesh,Maize,1994.89
Andhra Pradesh,Mango,2598.85
Andhra Pradesh,Mousambi (Sweet Lime),1361.31
Andhra Pradesh,Onion,1855.61
Andhra Pradesh,Paddy (Common),2345.0
Andhra Pradesh,Paddy (Dhan)(Basmati),2310.0
Andhra Pradesh,Paddy (Dhan)(Common),2070.32
Andhra Pradesh,Papaya,2426.09
Andhra Pradesh,Potato,1945.05
Andhra Pradesh,Raddish,1016.0
Andhra Pradesh,Rice,4106.44
Andhra Pradesh,Ridgeguard (Tori),2181.33
Andhra Pradesh,Soyabean,3968.98
Andhra Pradesh,Sunflower,5025.15
Andhra Pradesh,Sunflower Seed,5104.5
Andhra Pradesh,Sweet Potato,1095.65
Andhra Pradesh,Tamarind Fruit,10368.36
Andhra Pradesh,Tamarind Seed,4500.0
Andhra Pradesh,Tomato,1983.53
Andhra Pradesh,Turmeric,8689.84
Andhra Pradesh,Water Melon,2433.33
Andhra Pradesh,Wood,5854.46
Arunachal Pradesh,Apple,30000.0
Arunachal Pradesh,Ginger (Green),15000.0
Arunachal Pradesh,Green Peas,20000.0
Arunachal Pradesh,Persimon (Japani Fal),30000.0
Arunachal Pradesh,Squash (Chappal Kadoo),15000.0
Assam,Apple,8900.0
Assam,Banana,2801.98
Assam,Beans,2144.9
Assam,Beetroot,2774.34
Assam,Bhindi (Ladies Finger),2543.6
Assam,Bitter Gourd,2868.4
Assam,Bottle Gourd,1181.79
Assam,Brinjal,1842.29
Assam,Cabbage,1552.23
Assam,Capsicum,2131.31
Assam,Carrot,1843.33
Assam,Cauliflower,2138.31
Assam,Cucumbar (Kheera),1724.62
Assam,Drumstick,3160.0
Assam,French Beans (Frasbean),3616.0
Assam,Garlic,6045.28
Assam,Ginger (Green),5233.91
Assam,Green Chilli,4523.32
Assam,Knool Khol,1506.25
Assam,Lemon,1608.24
Assam,Mousambi (Sweet Lime),5000.0
Assam,Onion,2480.49
Assam,Papaya (Raw),1666.67
Assam,Pineapple,3333.33
Assam,Pointed Gourd (Parval),3483.33
Assam,Potato,1541.2
Assam,Pumpkin,1193.42
Assam,Raddish,1378.38
Assam,Ridgeguard (Tori),3194.74
Assam,Sponge Gourd,1675.0
Assam,Squash (Chappal Kadoo),2487.5
Assam,Tomato,2387.1
Bihar,Apple,7684.95
Bihar,Arhar (Tur/Red Gram)(Whole),8575.0
