state,crop,avg_yield_kg_ha
Andaman And Nicobar Islands,Arecanut,1779.16
Andaman And Nicobar Islands,Arhar/Tur,1027.47
Andaman And Nicobar Islands,Banana,9629.28
Andaman And Nicobar Islands,Black Pepper,442.93
Andaman And Nicobar Islands,Cashewnut,579.22
Andaman And Nicobar Islands,Cowpea(Lobia),4634.42
Andaman And Nicobar Islands,Dry Chillies,3234.64
Andaman And Nicobar Islands,Dry Ginger,8052.7
Andaman And Nicobar Islands,Ginger,6352.81
Andaman And Nicobar Islands,Groundnut,844.14
Andaman And Nicobar Islands,Maize,2515.5
Andaman And Nicobar Islands,Moong(Green Gram),602.7
Andaman And Nicobar Islands,Oilseeds Total,628.91
Andaman And Nicobar Islands,Other Kharif Pulses,536.68
Andaman And Nicobar Islands,Other Oilseeds,562.68
Andaman And Nicobar Islands,Rapeseed &Mustard,874.7
Andaman And Nicobar Islands,Rice,2358.53
Andaman And Nicobar Islands,Safflower,500.0
Andaman And Nicobar Islands,Sesamum,505.65
Andaman And Nicobar Islands,Sugarcane,13969.17
Andaman And Nicobar Islands,Sunflower,1056.3
Andaman And Nicobar Islands,Sweet Potato,14240.62
Andaman And Nicobar Islands,Tapioca,13298.19
Andaman And Nicobar Islands,Turmeric,6056.03
Andaman And Nicobar Islands,Urad,482.15
Andhra Pradesh,Arecanut,2173.74
Andhra Pradesh,Arhar/Tur,494.4
Andhra Pradesh,Bajra,1173.98
Andhra Pradesh,Banana,34554.47
Andhra Pradesh,Black Pepper,937.5
Andhra Pradesh,Cashewnut,444.28
Andhra Pradesh,Castor Seed,498.98
Andhra Pradesh,Coriander,526.6
Andhra Pradesh,Cowpea(Lobia),622.93
Andhra Pradesh,Dry Chillies,2950.18
Andhra Pradesh,Garlic,2168.09
Andhra Pradesh,Ginger,4320.33
Andhra Pradesh,Gram,1271.71
Andhra Pradesh,Groundnut,1580.22
Andhra Pradesh,Guar Seed,1904.76
Andhra Pradesh,Horse-Gram,435.59
Andhra Pradesh,Jowar,1354.56
Andhra Pradesh,Linseed,300.68
Andhra Pradesh,Maize,4545.05
Andhra Pradesh,Masoor,363.28
Andhra Pradesh,Moong(Green Gram),501.83
Andhra Pradesh,Niger Seed,411.21
Andhra Pradesh,Oilseeds Total,4040.8
Andhra Pradesh,Onion,19607.28
Andhra Pradesh,Other Kharif Pulses,388.96
Andhra Pradesh,Other Oilseeds,12193.31
Andhra Pradesh,Other Rabi Pulses,540.42
Andhra Pradesh,Potato,10514.97
Andhra Pradesh,Ragi,1404.34
Andhra Pradesh,Rapeseed &Mustard,731.44
Andhra Pradesh,Rice,2939.92
Andhra Pradesh,Safflower,461.76
Andhra Pradesh,Sesamum,262.3
Andhra Pradesh,Small Millets,680.38
Andhra Pradesh,Soyabean,1467.59
Andhra Pradesh,Sugarcane,81436.03
Andhra Pradesh,Sunflower,877.01
Andhra Pradesh,Sweet Potato,11359.02
Andhra Pradesh,Tapioca,10884.15
Andhra Pradesh,Tobacco,2069.12
Andhra Pradesh,Turmeric,7050.16
Andhra Pradesh,Urad,613.45
Andhra Pradesh,Wheat,818.44
Arunachal Pradesh,Arhar/Tur,820.21
Arunachal Pradesh,Dry Chillies,2228.17
Arunachal Pradesh,Ginger,6222.17
Arunachal Pradesh,Groundnut,1105.89
Arunachal Pradesh,Maize,1548.82
Arunachal Pradesh,Masoor,741.37
Arunachal Pradesh,Moong(Green Gram),1092.04
Arunachal Pradesh,Oilseeds Total,1067.64
Arunachal Pradesh,Other Kharif Pulses,927.5
Arunachal Pradesh,Other Oilseeds,1121.69
Arunachal Pradesh,Other Rabi Pulses,727.27
Arunachal Pradesh,Peas & Beans (Pulses),1322.51
Arunachal Pradesh,Potato,7058.19
Arunachal Pradesh,Rapeseed &Mustard,1167.14
Arunachal Pradesh,Rice,1349.77
Arunachal Pradesh,Sesamum,800.25
Arunachal Pradesh,Small Millets,977.25
Arunachal Pradesh,Soyabean,1635.84
Arunachal Pradesh,Sugarcane,19319.24
Arunachal Pradesh,Sunflower,697.33
Arunachal Pradesh,Turmeric,4417.47
Arunachal Pradesh,Urad,972.01
Arunachal Pradesh,Wheat,1696.82
Assam,Arecanut,899.44
Assam,Arhar/Tur,769.85
Assam,Banana,15050.94
Assam,Black Pepper,1803.84
Assam,Castor Seed,500.12
Assam,Dry Chillies,705.94
Assam,Ginger,7903.29
Assam,Gram,544.76
Assam,Linseed,535.62
Assam,Maize,1403.54
Assam,Masoor,591.03
Assam,Moong(Green Gram),535.8
Assam,Niger Seed,545.8
Assam,Onion,3668.78
Assam,Other Rabi Pulses,573.58
Assam,Peas & Beans (Pulses),731.12
Assam,Potato,7109.21
Assam,Rapeseed &Mustard,544.58
Assam,Rice,1684.65
Assam,Sesamum,555.16
Assam,Small Millets,552.69
Assam,Sugarcane,37431.81
Assam,Sweet Potato,4142.69
Assam,Tapioca,6162.06
Assam,Tobacco,605.34
Assam,Turmeric,843.17
Assam,Urad,580.97
Assam,Wheat,1182.36
Bihar,Arhar/Tur,1451.51
Bihar,Bajra,904.95
Bihar,Banana,18304.18
Bihar,Barley,1240.53
Bihar,Castor Seed,941.17
Bihar,Coriander,692.19
Bihar,Dry Chillies,936.22
Bihar,Garlic,1457.23
Bihar,Ginger,1523.14
Bihar,Gram,996.04
